項番,記事URL,記事公開日,記事レーティング,記事カテゴリ,検証対象URL,検証対象,クレーム,証拠URL,証拠説明文,証拠先行ラベル,逆クレームラベル,証拠URLリスト,真実性ラベル,正当性説明文,画像数,画像1_改ざんラベル,画像1_OOCラベル,画像1_AI生成ラベル,画像2_改ざんラベル,画像2_OOCラベル,画像2_AI生成ラベル,画像3_改ざんラベル,画像3_OOCラベル,画像3_AI生成ラベル,画像4_改ざんラベル,画像4_OOCラベル,画像4_AI生成ラベル,動画数,動画1_改ざんラベル,動画1_OOCラベル,動画1_AI生成ラベル,再利用ラベル,OOCラベル
391,https://www.factcheckcenter.jp/fact-check/politics/false-hyogo-committee-records/,2025/2/21,誤り,政治,https://x.com/i/status/1891825513850634295,テキスト,2024年6月13日に設置された、地方自治法百条に基づいて斎藤知事のパワハラ疑惑などを調べる「文書問題調査特別委員会（通称：百条委員会）」において、2025年2月18日時点で議事録は全部破棄されている。,https://www.kensakusystem.jp/hyogopref/,2024年6月13日に設置された、地方自治法百条に基づいて斎藤知事のパワハラ疑惑などを調べる「文書問題調査特別委員会（通称：百条委員会）」において、2025年2月18日時点で議事録は保存されている。一部秘密会の議事録を除いて公開もされている。,True,False,https://www.kensakusystem.jp/hyogopref/ https://web.pref.hyogo.lg.jp/gikai/documents/chukei.html https://web.pref.hyogo.lg.jp/gikai/iinkai/index/tokubetsu/bunsho/shingi/documents/bunshoshiryou060627.pdf,False,兵庫県の百条委員会の議事録がすべて破棄されているという情報は、誤り。議事録は一部を除いて公開されており、非公開の部分も、議事録は保存するという。,0,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-
392,https://www.factcheckcenter.jp/fact-check/politics/false-hyogo-committee-records/,2025/2/21,誤り,政治,https://x.com/i/status/1891825513850634295,テキスト,2024年6月13日に設置された、地方自治法百条に基づいて斎藤知事のパワハラ疑惑などを調べる「文書問題調査特別委員会（通称：百条委員会）」において、2025年2月18日時点で議事録は保存されている。一部秘密会の議事録を除いて公開もされている。,https://www.kensakusystem.jp/hyogopref/,2024年6月13日に設置された、地方自治法百条に基づいて斎藤知事のパワハラ疑惑などを調べる「文書問題調査特別委員会（通称：百条委員会）」において、2025年2月18日時点で議事録は保存されている。一部秘密会の議事録を除いて公開もされている。,True,True,https://www.kensakusystem.jp/hyogopref/ https://web.pref.hyogo.lg.jp/gikai/documents/chukei.html https://web.pref.hyogo.lg.jp/gikai/iinkai/index/tokubetsu/bunsho/shingi/documents/bunshoshiryou060627.pdf,True,兵庫県の百条委員会の議事録がすべて破棄されているという情報は、誤り。議事録は一部を除いて公開されており、非公開の部分も、議事録は保存するという。,0,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-
393,https://www.factcheckcenter.jp/fact-check/international/article-false-claim-trump-10x-tariff-tax-removal/,2025/2/25,誤り,国際,https://x.com/i/status/1892481244706856982,テキスト,トランプ大統領が2025年2月18日の米国フロリダ州での会見で、消費税やガソリン税、自動車重量税を撤廃しない国は関税を10倍にすると発表した。,https://www.fnn.jp/articles/-/831487,トランプ大統領が2月18日の米国フロリダ州での会見で、米国に輸入される自動車への関税率について現行の10倍となる25%へ引き上げることを表明と報じているが、消費税・ガソリン税・自動車重量税の撤廃などには言及していない。,True,False,https://www.fnn.jp/articles/-/831487,False,「トランプ大統領が消費税やガソリン税、自動車重量税を撤廃しない国は関税を10倍にすると発表した」との主張は誤り。トランプ大統領が米国に輸入される自動車の関税を現行の10倍へ引き上げる方針を示したのは事実だが、日本の税制には言及していない。,1,False,False,False,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-
394,https://www.factcheckcenter.jp/fact-check/international/article-false-claim-trump-10x-tariff-tax-removal/,2025/2/25,誤り,国際,https://x.com/i/status/1892481244706856982,テキスト,トランプ大統領が2025年2月18日の米国フロリダ州での会見で、米国に輸入される自動車の関税率を現行の10倍となる25%へ引き上げることを表明した。,https://www.fnn.jp/articles/-/831487,トランプ大統領が2月18日の米国フロリダ州での会見で、米国に輸入される自動車への関税率について現行の10倍となる25%へ引き上げることを表明と報じているが、消費税・ガソリン税・自動車重量税の撤廃などには言及していない。,True,True,https://www.fnn.jp/articles/-/831487,True,トランプ大統領が米国に輸入される自動車の関税を現行の10倍へ引き上げる方針を示したのは事実。,1,False,False,False,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-
395,https://www.factcheckcenter.jp/fact-check/health/fact-check-medical-health-false-k2syrup/,2025/2/26,誤り,医療・健康,https://x.com/i/status/1879098702897496337,"テキスト,画像1",K2シロップには多くの添加物が含まれており、それが原因で副作用のリスクがあるため、服用すべきではない。,https://www.pmda.go.jp/drugs/2012/P201200060/300220000_21800AMX10431000_A100_1.pdf,新生児・乳児のビタミン K 欠乏性出血症の予防について有効性及び安全性は確認されているものと判断する。,True,False,https://www.pmda.go.jp/drugs/2012/P201200060/300220000_21800AMX10431000_A100_1.pdf https://www.info.pmda.go.jp/fsearchnew/fukusayouMainServlet?scrid=SCR_LIST&evt=HANBAI&type=1&pID=3160002&name=%A5%B1%A5%A4%A5%C4%A1%BC&fuku=&root=1&srtnendo=2&rdoMatch=false&page_max=100&page_no=0,False,赤ちゃんに起こりやすい出血を防ぐために「K2シロップ」を飲ませる親が多いが、添加物や副作用が心配なので、服用を控えたほうがよいという主張は、誤り。K2シロップは安全性が確認されていて、赤ちゃんのビタミンK欠乏性出血症を防ぐために医療機関で強く推奨されている。また、食品などで代用することはできない。,1,False,False,False,-,-,-,-,-,-,-,-,-,0,-,-,-,NA,False
396,https://www.factcheckcenter.jp/fact-check/health/fact-check-medical-health-false-k2syrup/,2025/2/26,誤り,医療・健康,https://x.com/i/status/1879098702897496337,"テキスト,画像1",K2シロップは、新生児におけるビタミンK欠乏性出血症の予防に対し、その有効性および安全性は確立されている。,https://www.pmda.go.jp/drugs/2012/P201200060/300220000_21800AMX10431000_A100_1.pdf,新生児・乳児のビタミン K 欠乏性出血症の予防について有効性及び安全性は確認されているものと判断する。,True,True,https://www.pmda.go.jp/drugs/2012/P201200060/300220000_21800AMX10431000_A100_1.pdf https://www.info.pmda.go.jp/fsearchnew/fukusayouMainServlet?scrid=SCR_LIST&evt=HANBAI&type=1&pID=3160002&name=%A5%B1%A5%A4%A5%C4%A1%BC&fuku=&root=1&srtnendo=2&rdoMatch=false&page_max=100&page_no=0,True,K2シロップは安全性が確認されていて、赤ちゃんのビタミンK欠乏性出血症を防ぐために医療機関で強く推奨されている。また、食品などで代用することはできない。,1,False,True,False,-,-,-,-,-,-,-,-,-,0,-,-,-,NA,True
397,https://www.factcheckcenter.jp/fact-check/health/fact-check-medical-health-false-k2syrup/,2025/2/26,誤り,医療・健康,https://x.com/i/status/1886534373098614817,"テキスト,画像1,画像2",K2シロップには多くの添加物が含まれており、それが原因で副作用のリスクがあるため、服用すべきではない。,https://www.pmda.go.jp/drugs/2012/P201200060/300220000_21800AMX10431000_A100_1.pdf,新生児・乳児のビタミン K 欠乏性出血症の予防について有効性及び安全性は確認されているものと判断する。,True,False,https://www.pmda.go.jp/drugs/2012/P201200060/300220000_21800AMX10431000_A100_1.pdf https://www.info.pmda.go.jp/fsearchnew/fukusayouMainServlet?scrid=SCR_LIST&evt=HANBAI&type=1&pID=3160002&name=%A5%B1%A5%A4%A5%C4%A1%BC&fuku=&root=1&srtnendo=2&rdoMatch=false&page_max=100&page_no=0,False,赤ちゃんに起こりやすい出血を防ぐために「K2シロップ」を飲ませる親が多いが、添加物や副作用が心配なので、服用を控えたほうがよいという主張は、誤り。K2シロップは安全性が確認されていて、赤ちゃんのビタミンK欠乏性出血症を防ぐために医療機関で強く推奨されている。また、食品などで代用することはできない。,2,True,True,False,True,False,False,-,-,-,-,-,-,0,-,-,-,NA,True
398,https://www.factcheckcenter.jp/fact-check/health/fact-check-medical-health-false-k2syrup/,2025/2/26,誤り,医療・健康,https://x.com/i/status/1886534373098614817,"テキスト,画像1,画像2",K2シロップは、新生児におけるビタミンK欠乏性出血症の予防に対し、その有効性および安全性は確立されている。,https://www.pmda.go.jp/drugs/2012/P201200060/300220000_21800AMX10431000_A100_1.pdf,新生児・乳児のビタミン K 欠乏性出血症の予防について有効性及び安全性は確認されているものと判断する。,True,True,https://www.pmda.go.jp/drugs/2012/P201200060/300220000_21800AMX10431000_A100_1.pdf https://www.info.pmda.go.jp/fsearchnew/fukusayouMainServlet?scrid=SCR_LIST&evt=HANBAI&type=1&pID=3160002&name=%A5%B1%A5%A4%A5%C4%A1%BC&fuku=&root=1&srtnendo=2&rdoMatch=false&page_max=100&page_no=0,True,K2シロップは安全性が確認されていて、赤ちゃんのビタミンK欠乏性出血症を防ぐために医療機関で強く推奨されている。また、食品などで代用することはできない。,2,True,True,False,True,False,False,-,-,-,-,-,-,0,-,-,-,NA,True
399,https://www.factcheckcenter.jp/fact-check/health/fact-check-medical-health-false-k2syrup/,2025/2/26,誤り,医療・健康,https://x.com/i/status/1887155090127270193,"テキスト,画像1,画像2",K2シロップには多くの添加物が含まれており、それが原因で副作用のリスクがあるため、服用すべきではない。,https://www.pmda.go.jp/drugs/2012/P201200060/300220000_21800AMX10431000_A100_1.pdf,新生児・乳児のビタミン K 欠乏性出血症の予防について有効性及び安全性は確認されているものと判断する。,True,False,https://www.pmda.go.jp/drugs/2012/P201200060/300220000_21800AMX10431000_A100_1.pdf https://www.info.pmda.go.jp/fsearchnew/fukusayouMainServlet?scrid=SCR_LIST&evt=HANBAI&type=1&pID=3160002&name=%A5%B1%A5%A4%A5%C4%A1%BC&fuku=&root=1&srtnendo=2&rdoMatch=false&page_max=100&page_no=0,False,赤ちゃんに起こりやすい出血を防ぐために「K2シロップ」を飲ませる親が多いが、添加物や副作用が心配なので、服用を控えたほうがよいという主張は、誤り。K2シロップは安全性が確認されていて、赤ちゃんのビタミンK欠乏性出血症を防ぐために医療機関で強く推奨されている。また、食品などで代用することはできない。,2,True,True,False,True,False,False,-,-,-,-,-,-,0,-,-,-,True,True
400,https://www.factcheckcenter.jp/fact-check/health/fact-check-medical-health-false-k2syrup/,2025/2/26,誤り,医療・健康,https://x.com/i/status/1887155090127270193,"テキスト,画像1,画像2",K2シロップは、新生児におけるビタミンK欠乏性出血症の予防に対し、その有効性および安全性は確立されている。,https://www.pmda.go.jp/drugs/2012/P201200060/300220000_21800AMX10431000_A100_1.pdf,新生児・乳児のビタミン K 欠乏性出血症の予防について有効性及び安全性は確認されているものと判断する。,True,True,https://www.pmda.go.jp/drugs/2012/P201200060/300220000_21800AMX10431000_A100_1.pdf https://www.info.pmda.go.jp/fsearchnew/fukusayouMainServlet?scrid=SCR_LIST&evt=HANBAI&type=1&pID=3160002&name=%A5%B1%A5%A4%A5%C4%A1%BC&fuku=&root=1&srtnendo=2&rdoMatch=false&page_max=100&page_no=0,True,K2シロップは安全性が確認されていて、赤ちゃんのビタミンK欠乏性出血症を防ぐために医療機関で強く推奨されている。また、食品などで代用することはできない。,2,True,True,False,True,False,False,-,-,-,-,-,-,0,-,-,-,True,True
401,https://www.factcheckcenter.jp/fact-check/politics/false-foreigners-welfare-illegal/,2025/2/27,誤り,政治,https://x.com/i/status/1889978109828677700,テキスト,外国人への生活保護は、2014年7月18日の最高裁で違法判決が出て確定している。,https://www.nikkei.com/article/DGXNASDG18H11_Y4A710C1CR8000/,最高裁判決は、外国人は生活保護法の対象である「国民」には含まれないものの、人道上の観点から、自治体の裁量によって保護の対象となりうると示している。,True,False,https://shoumudatabasep.moj.go.jp/hanreiSearch/HanreiSearch https://www.nikkei.com/article/DGXNASDG18H11_Y4A710C1CR8000/ https://www.huffingtonpost.jp/2014/07/19/livelihood-subsidies_n_5601352.html https://www.mhlw.go.jp/web/t_doc?dataId=00ta1609&dataType=1&pageNo=1 https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/171/syuh/s171198.htm https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/171/touh/t171198.htm https://www.pref.shimane.lg.jp/admin/seisaku/koho/teian/record/2022/202205/A2022-00040.html https://www.city.osaka.lg.jp/seisakukikakushitsu/page/0000632977.html https://www.city.hiroshima.lg.jp/shisei/kouchou/1021840/1006003/1027508/1011672.html https://www.buzzfeed.com/jp/kotahatachi/seikatuhogo-debunk https://www.buzzfeed.com/jp/kotahatachi/seikatuhogo-debunk-2018 https://infact.press/2020/07/post-6735/,False,「外国人への生活保護は2014年に最高裁で違法判決が出て確定している」との主張は誤り。最高裁判決は、外国人は生活保護法の対象である「国民」には含まれないものの、人道上の観点から、自治体の裁量によって保護の対象となりうると示している。,0,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-
402,https://www.factcheckcenter.jp/fact-check/politics/false-foreigners-welfare-illegal/,2025/2/27,誤り,政治,https://x.com/i/status/1889978109828677700,テキスト,2014年7月18日の最高裁判決は、外国人は生活保護法の「国民」には該当しないが、自治体の裁量で保護対象とできることを示した。,https://www.nikkei.com/article/DGXNASDG18H11_Y4A710C1CR8000/,最高裁判決は、外国人は生活保護法の対象である「国民」には含まれないものの、人道上の観点から、自治体の裁量によって保護の対象となりうると示している。,True,True,https://shoumudatabasep.moj.go.jp/hanreiSearch/HanreiSearch https://www.nikkei.com/article/DGXNASDG18H11_Y4A710C1CR8000/ https://www.huffingtonpost.jp/2014/07/19/livelihood-subsidies_n_5601352.html https://www.mhlw.go.jp/web/t_doc?dataId=00ta1609&dataType=1&pageNo=1 https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/171/syuh/s171198.htm https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/171/touh/t171198.htm https://www.pref.shimane.lg.jp/admin/seisaku/koho/teian/record/2022/202205/A2022-00040.html https://www.city.osaka.lg.jp/seisakukikakushitsu/page/0000632977.html https://www.city.hiroshima.lg.jp/shisei/kouchou/1021840/1006003/1027508/1011672.html https://www.buzzfeed.com/jp/kotahatachi/seikatuhogo-debunk https://www.buzzfeed.com/jp/kotahatachi/seikatuhogo-debunk-2018 https://infact.press/2020/07/post-6735/,True,最高裁判決は、外国人は生活保護法の対象である「国民」には含まれないものの、人道上の観点から、自治体の裁量によって保護の対象となりうると示している。,0,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-
403,https://www.factcheckcenter.jp/fact-check/politics/false-foreigners-welfare-illegal/,2025/2/27,誤り,政治,https://x.com/i/status/1890550739107217601,"テキスト,画像1",外国人への生活保護は、2014年7月18日の最高裁で違法判決が出て確定している。,https://www.nikkei.com/article/DGXNASDG18H11_Y4A710C1CR8000/,最高裁判決は、外国人は生活保護法の対象である「国民」には含まれないものの、人道上の観点から、自治体の裁量によって保護の対象となりうると示している。,True,False,https://shoumudatabasep.moj.go.jp/hanreiSearch/HanreiSearch https://www.nikkei.com/article/DGXNASDG18H11_Y4A710C1CR8000/ https://www.huffingtonpost.jp/2014/07/19/livelihood-subsidies_n_5601352.html https://www.mhlw.go.jp/web/t_doc?dataId=00ta1609&dataType=1&pageNo=1 https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/171/syuh/s171198.htm https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/171/touh/t171198.htm https://www.pref.shimane.lg.jp/admin/seisaku/koho/teian/record/2022/202205/A2022-00040.html https://www.city.osaka.lg.jp/seisakukikakushitsu/page/0000632977.html https://www.city.hiroshima.lg.jp/shisei/kouchou/1021840/1006003/1027508/1011672.html https://www.buzzfeed.com/jp/kotahatachi/seikatuhogo-debunk https://www.buzzfeed.com/jp/kotahatachi/seikatuhogo-debunk-2018 https://infact.press/2020/07/post-6735/,False,「外国人への生活保護は2014年に最高裁で違法判決が出て確定している」との主張は誤り。最高裁判決は、外国人は生活保護法の対象である「国民」には含まれないものの、人道上の観点から、自治体の裁量によって保護の対象となりうると示している。,1,True,False,False,-,-,-,-,-,-,-,-,-,0,-,-,-,NA,False
404,https://www.factcheckcenter.jp/fact-check/politics/false-foreigners-welfare-illegal/,2025/2/27,誤り,政治,https://x.com/i/status/1890550739107217601,"テキスト,画像1",2014年7月18日の最高裁判決は、外国人は生活保護法の「国民」には該当しないが、自治体の裁量で保護対象とできることを示した。,https://www.nikkei.com/article/DGXNASDG18H11_Y4A710C1CR8000/,最高裁判決は、外国人は生活保護法の対象である「国民」には含まれないものの、人道上の観点から、自治体の裁量によって保護の対象となりうると示している。,True,True,https://shoumudatabasep.moj.go.jp/hanreiSearch/HanreiSearch https://www.nikkei.com/article/DGXNASDG18H11_Y4A710C1CR8000/ https://www.huffingtonpost.jp/2014/07/19/livelihood-subsidies_n_5601352.html https://www.mhlw.go.jp/web/t_doc?dataId=00ta1609&dataType=1&pageNo=1 https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/171/syuh/s171198.htm https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/171/touh/t171198.htm https://www.pref.shimane.lg.jp/admin/seisaku/koho/teian/record/2022/202205/A2022-00040.html https://www.city.osaka.lg.jp/seisakukikakushitsu/page/0000632977.html https://www.city.hiroshima.lg.jp/shisei/kouchou/1021840/1006003/1027508/1011672.html https://www.buzzfeed.com/jp/kotahatachi/seikatuhogo-debunk https://www.buzzfeed.com/jp/kotahatachi/seikatuhogo-debunk-2018 https://infact.press/2020/07/post-6735/,True,最高裁判決は、外国人は生活保護法の対象である「国民」には含まれないものの、人道上の観点から、自治体の裁量によって保護の対象となりうると示している。,1,True,True,False,-,-,-,-,-,-,-,-,-,0,-,-,-,NA,True
405,https://www.factcheckcenter.jp/fact-check/politics/false-foreigners-welfare-illegal/,2025/2/27,誤り,政治,https://x.com/i/status/1890869493171183802,"テキスト,画像1",外国人への生活保護は、2014年7月18日の最高裁で違法判決が出て確定している。,https://www.nikkei.com/article/DGXNASDG18H11_Y4A710C1CR8000/,最高裁判決は、外国人は生活保護法の対象である「国民」には含まれないものの、人道上の観点から、自治体の裁量によって保護の対象となりうると示している。,True,False,https://shoumudatabasep.moj.go.jp/hanreiSearch/HanreiSearch https://www.nikkei.com/article/DGXNASDG18H11_Y4A710C1CR8000/ https://www.huffingtonpost.jp/2014/07/19/livelihood-subsidies_n_5601352.html https://www.mhlw.go.jp/web/t_doc?dataId=00ta1609&dataType=1&pageNo=1 https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/171/syuh/s171198.htm https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/171/touh/t171198.htm https://www.pref.shimane.lg.jp/admin/seisaku/koho/teian/record/2022/202205/A2022-00040.html https://www.city.osaka.lg.jp/seisakukikakushitsu/page/0000632977.html https://www.city.hiroshima.lg.jp/shisei/kouchou/1021840/1006003/1027508/1011672.html https://www.buzzfeed.com/jp/kotahatachi/seikatuhogo-debunk https://www.buzzfeed.com/jp/kotahatachi/seikatuhogo-debunk-2018 https://infact.press/2020/07/post-6735/,False,「外国人への生活保護は2014年に最高裁で違法判決が出て確定している」との主張は誤り。最高裁判決は、外国人は生活保護法の対象である「国民」には含まれないものの、人道上の観点から、自治体の裁量によって保護の対象となりうると示している。,1,True,False,False,-,-,-,-,-,-,-,-,-,0,-,-,-,NA,False
406,https://www.factcheckcenter.jp/fact-check/politics/false-foreigners-welfare-illegal/,2025/2/27,誤り,政治,https://x.com/i/status/1890869493171183802,"テキスト,画像1",2014年7月18日の最高裁判決は、外国人は生活保護法の「国民」には該当しないが、自治体の裁量で保護対象とできることを示した。,https://www.nikkei.com/article/DGXNASDG18H11_Y4A710C1CR8000/,最高裁判決は、外国人は生活保護法の対象である「国民」には含まれないものの、人道上の観点から、自治体の裁量によって保護の対象となりうると示している。,True,True,https://shoumudatabasep.moj.go.jp/hanreiSearch/HanreiSearch https://www.nikkei.com/article/DGXNASDG18H11_Y4A710C1CR8000/ https://www.huffingtonpost.jp/2014/07/19/livelihood-subsidies_n_5601352.html https://www.mhlw.go.jp/web/t_doc?dataId=00ta1609&dataType=1&pageNo=1 https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/171/syuh/s171198.htm https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/171/touh/t171198.htm https://www.pref.shimane.lg.jp/admin/seisaku/koho/teian/record/2022/202205/A2022-00040.html https://www.city.osaka.lg.jp/seisakukikakushitsu/page/0000632977.html https://www.city.hiroshima.lg.jp/shisei/kouchou/1021840/1006003/1027508/1011672.html https://www.buzzfeed.com/jp/kotahatachi/seikatuhogo-debunk https://www.buzzfeed.com/jp/kotahatachi/seikatuhogo-debunk-2018 https://infact.press/2020/07/post-6735/,True,最高裁判決は、外国人は生活保護法の対象である「国民」には含まれないものの、人道上の観点から、自治体の裁量によって保護の対象となりうると示している。,1,True,True,False,-,-,-,-,-,-,-,-,-,0,-,-,-,NA,True
407,https://www.factcheckcenter.jp/fact-check/international/false-musk-ishiba-lowbirthrate/,2025/2/28,不正確,国際,https://x.com/i/status/1891011664973058086,"テキスト,動画1",2024年12月にイーロンマスク氏が石破政権を批判する発言をした。,https://x.com/i/status/1870493846313816136,イーロンマスク氏が日本や多くの国が人口減少に直面していると投稿した。,True,False,https://x.com/i/status/1798360824853282923 https://x.com/i/status/1871726072913698940 https://x.com/i/status/1870493846313816136,False,拡散した動画の引用元になった動画では、マスク氏はAIの危険性について語っている。マスク氏は、これまでに何度か日本の少子化に触れているが、石破政権の政策を批判したコメントは見つからない。よって、不正確と判定した。,0,-,-,-,-,-,-,-,-,-,-,-,-,1,True,False,False,True,False
408,https://www.factcheckcenter.jp/fact-check/international/false-musk-ishiba-lowbirthrate/,2025/2/28,不正確,国際,https://x.com/i/status/1891011664973058086,"テキスト,動画1",2025年2月16日に投稿された動画は、イーロンマスク氏が石破政権の少子化対策を批判したという動画である。,https://x.com/i/status/1639485122255679489,2016年にイーロン・マスクがサム・アルトマン（OpenAIのCEO）と中央集権型AIの危険性について議論している。,True,False,https://x.com/i/status/1639485122255679489,False,拡散した動画の引用元になった動画では、マスク氏はAIの危険性について語っている。マスク氏は、これまでに何度か日本の少子化に触れているが、石破政権の政策を批判したコメントは見つからない。よって、不正確と判定した。,0,-,-,-,-,-,-,-,-,-,-,-,-,1,True,True,False,True,True
409,https://www.factcheckcenter.jp/fact-check/international/false-musk-ishiba-lowbirthrate/,2025/2/28,不正確,国際,https://x.com/i/status/1891011664973058086,"テキスト,動画1",2024年12月にイーロンマスク氏が日本や多くの国が人口減少に直面していると投稿した。,https://x.com/i/status/1870493846313816136,イーロンマスク氏が日本や多くの国が人口減少に直面していると投稿した。,True,True,https://x.com/i/status/1798360824853282923 https://x.com/i/status/1871726072913698940 https://x.com/i/status/1870493846313816136,True,拡散した動画の引用元になった動画では、マスク氏はAIの危険性について語っている。マスク氏は、これまでに何度か日本の少子化に触れているが、石破政権の政策を批判したコメントは見つからない。,0,-,-,-,-,-,-,-,-,-,-,-,-,1,True,True,False,True,True
410,https://www.factcheckcenter.jp/fact-check/international/false-musk-ishiba-lowbirthrate/,2025/2/28,不正確,国際,https://x.com/i/status/1891011664973058086,"テキスト,動画1",2025年2月16日に投稿された動画は、イーロンマスク氏が石破政権の少子化対策を批判したように見せるフェイク動画である。,https://x.com/i/status/1639485122255679489,2016年にイーロン・マスクがサム・アルトマン（OpenAIのCEO）と中央集権型AIの危険性について議論している。,True,True,https://x.com/i/status/1639485122255679489 https://x.com/i/status/1798360824853282923 https://x.com/i/status/1871726072913698940 https://x.com/i/status/1870493846313816136,True,拡散した動画の引用元になった動画では、マスク氏はAIの危険性について語っている。,0,-,-,-,-,-,-,-,-,-,-,-,-,1,True,False,False,True,False
411,https://www.factcheckcenter.jp/fact-check/disasters/false_ofunato_wildfire_weapon/,2025/3/1,誤り,災害,https://x.com/i/status/1895380987229675719,"テキスト,画像1,画像2,画像3,画像4",2025年2月に発生した岩手・大船渡の山火事は作為的に火をつけたものである。,https://www.rinya.maff.go.jp/j/hogo/yamakaji/index.html,山火事の7割が、1月から5月にかけて発生する。山林に落ち葉が積もり、風が強い、乾燥状態などの自然条件が重なることで起きやすくなる。また、山火事の原因は「たき火」が最も多い。,NA,False,https://www.rinya.maff.go.jp/j/hogo/yamakaji/index.html https://www3.nhk.or.jp/news/html/20250228/k10014736161000.html,False,岩手県大船渡市の山火事をめぐって「兵器によって起こされた」「自然災害ではなく、スマートシティ化のために狙ってやっている」などの主張が拡散したが、誤り。国内外の災害で拡散する陰謀論だ。,4,True,True,False,False,True,False,False,True,False,False,True,False,0,-,-,-,NA,True
412,https://www.factcheckcenter.jp/fact-check/disasters/false_ofunato_wildfire_weapon/,2025/3/1,誤り,災害,https://x.com/i/status/1895380987229675719,"テキスト,画像1,画像2,画像3,画像4",2025年2月に発生した岩手・大船渡の山火事は作為的に火をつけたものではない。,https://www.rinya.maff.go.jp/j/hogo/yamakaji/index.html,山火事の7割が、1月から5月にかけて発生する。山林に落ち葉が積もり、風が強い、乾燥状態などの自然条件が重なることで起きやすくなる。また、山火事の原因は「たき火」が最も多い。,NA,True,https://www.rinya.maff.go.jp/j/hogo/yamakaji/index.html https://www3.nhk.or.jp/news/html/20250228/k10014736161000.html,True,岩手県大船渡市の山火事をめぐって「兵器によって起こされた」「自然災害ではなく、スマートシティ化のために狙ってやっている」などの主張が拡散したが、誤り。国内外の災害で拡散する陰謀論だ。,4,True,False,False,False,False,False,False,False,False,False,False,False,0,-,-,-,NA,False
413,https://www.factcheckcenter.jp/fact-check/politics/false-vance-japan-sns-regulation/,2025/3/4,誤り,政治,https://x.com/i/status/1894003036369952866,"テキスト,動画1",2025年2月14日、ドイツで開かれた「ミュンヘン安全保障会議」でアメリカの副大統領ヴァンス氏は日本政府が進めるSNS規制について言論の自由を脅かすものだと発言した。,https://www.youtube.com/watch?v=pCOsgfINdKg,ヴァンス氏は2025年2月14日、ドイツで開かれた「ミュンヘン安全保障会議」で演説し、欧州の問題はロシアや中国など外部からではなく「内部からの脅威だ」と欧州の民主主義国家のあり方を厳しく批判した。その中でSNSの偽情報対策を「言論の自由の弾圧」と糾弾した。,True,False,https://www.cnn.co.jp/world/35229447.html https://www.bbc.com/japanese/articles/cz0lkrll359o https://www.jiji.com/jc/article?k=2025021500175&g=int https://www.youtube.com/watch?v=pCOsgfINdKg,False,ヴァンス氏は欧州のSNS偽情報対策について「言論の自由の弾圧」と批判しているが、日本政府に向けたものではない。よって誤りと判定した。,0,-,-,-,-,-,-,-,-,-,-,-,-,1,True,False,False,NA,False
414,https://www.factcheckcenter.jp/fact-check/politics/false-vance-japan-sns-regulation/,2025/3/4,誤り,政治,https://x.com/i/status/1894003036369952866,"テキスト,動画1",2025年2月14日、ドイツで開かれた「ミュンヘン安全保障会議」でアメリカの副大統領ヴァンス氏は、EUでの適用が開始されたデジタルサービス法（DSA）に関して言論の自由を脅かすものだと発言した。,https://www.youtube.com/watch?v=pCOsgfINdKg,ヴァンス氏は2025年2月14日、ドイツで開かれた「ミュンヘン安全保障会議」で演説し、欧州の問題はロシアや中国など外部からではなく「内部からの脅威だ」と欧州の民主主義国家のあり方を厳しく批判した。その中でSNSの偽情報対策を「言論の自由の弾圧」と糾弾した。,True,True,https://www.cnn.co.jp/world/35229447.html https://www.bbc.com/japanese/articles/cz0lkrll359o https://www.jiji.com/jc/article?k=2025021500175&g=int https://www.youtube.com/watch?v=pCOsgfINdKg,True,ヴァンス氏は欧州のSNS偽情報対策について「言論の自由の弾圧」と批判しているが、日本政府に向けたものではなく、EUに向けたものである。,0,-,-,-,-,-,-,-,-,-,-,-,-,1,True,True,False,NA,True
